"CITY & COUNTY RATES & CODES FOR SALES AND USE TAX"
"OKLAHOMA TAX COMMISSION"
"Tax Type","COPO Number","City/County","Current Rate","Effective Date","Expiration Date","Previous Rate","Effective Date","Expiration Date","Previous Rate","Effective Date","Expiration Date"
"STU","0511","ELK CITY","004.0000000%","10/01/03","00/00/00","003.0000000%","11/01/02","09/30/03","004.0000000%","10/01/96","10/31/02"
"STU","0513","ERICK","004.0000000%","07/01/99","00/00/00","000.0000000%","00/00/00","06/30/99","000.0000000%","00/00/00","00/00/00"
"STU","0514","MAYFIELD","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0516","SAYRE","005.0000000%","07/01/13","00/00/00","004.0000000%","01/01/07","06/30/13","003.0000000%","01/01/93","12/31/06"
"STU","0517","TEXOLA","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0518","SWEETWATER-BECKHAM COUNTY","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0588","BECKHAM COUNTY","000.3000000%","07/01/02","00/00/00","000.0000000%","00/00/00","06/30/02","000.0000000%","00/00/00","00/00/00"
"STU","0603","CANTON","003.0000000%","07/01/10","00/00/00","000.0000000%","00/00/00","06/30/10","000.0000000%","00/00/00","00/00/00"
"STU","0605","EAGLE CITY","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0627","HYDRO - BLAINE COUNTY","004.0000000%","10/01/11","00/00/00","003.0000000%","08/01/89","09/30/11","002.0000000%","02/01/87","07/31/89"
"STU","0630","GEARY - BLAINE COUNTY","003.0000000%","07/01/04","00/00/00","000.0000000%","00/00/00","06/30/04","000.0000000%","00/00/00","00/00/00"
"STU","0633","GREENFIELD","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0634","HITCHCOCK","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0635","HOMESTEAD","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0636","LONGDALE","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0637","OKEENE","004.2500000%","10/01/00","00/00/00","004.0000000%","04/01/00","09/30/00","000.0000000%","00/00/00","03/31/00"
"STU","0638","SOUTHARD","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0639","WATONGA","005.0000000%","01/01/11","00/00/00","004.0000000%","10/01/99","12/31/10","003.0000000%","12/01/97","09/30/99"
"STU","0688","BLAINE COUNTY","000.7500000%","04/01/13","00/00/00","000.5000000%","04/01/05","03/31/13","000.0000000%","00/00/00","03/31/05"
"STU","0703","ACHILLE","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0704","ALBANY","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0706","BENNINGTON","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0707","BLUE","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0708","BOKCHITO","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0709","CADDO","003.0000000%","07/01/02","00/00/00","000.0000000%","00/00/00","06/30/02","000.0000000%","00/00/00","00/00/00"
"STU","0713","CALERA","004.0000000%","04/01/08","00/00/00","003.5000000%","10/01/07","03/31/08","000.0000000%","00/00/00","09/30/07"
"STU","0714","CARTWRIGHT","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0715","COLBERT","003.0000000%","01/01/05","00/00/00","000.0000000%","00/00/00","12/31/04","000.0000000%","00/00/00","00/00/00"
"STU","0721","DURANT","004.3750000%","07/01/08","00/00/00","003.7500000%","10/01/04","06/30/08","003.2500000%","01/01/04","09/30/04"
"STU","0724","HENDRIX","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0726","KEMP","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0727","KENEFIC","003.0000000%","02/01/90","00/00/00","000.0000000%","00/00/00","01/31/90","000.0000000%","00/00/00","00/00/00"
"STU","0728","MEAD","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0733","PLATTER","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0734","SILO","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0735","UTICA","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0736","WADE","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0738","YUBA","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0788","BRYAN COUNTY","000.5000000%","10/01/12","00/00/00","000.2500000%","01/01/05","09/30/12","000.0000000%","00/00/00","12/31/04"
"STU","0803","ALBERT","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0804","ALFALFA","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0811","ANADARKO","003.5000000%","03/01/95","00/00/00","003.0000000%","08/01/91","02/28/95","000.0000000%","00/00/00","07/31/91"
"STU","0813","APACHE","003.5000000%","02/01/92","00/00/00","000.0000000%","00/00/00","01/31/92","000.0000000%","00/00/00","00/00/00"
"STU","0814","BINGER","004.0000000%","07/01/13","00/00/00","003.0000000%","01/01/91","06/30/13","000.0000000%","00/00/00","12/31/90"
"STU","0815","BRIDGEPORT","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0816","CARNEGIE","004.0000000%","10/01/01","00/00/00","003.0000000%","01/01/91","09/30/01","000.0000000%","00/00/00","12/31/90"
"STU","0817","CEMENT","003.5000000%","09/01/93","00/00/00","003.0000000%","12/01/89","08/31/93","000.0000000%","00/00/00","11/30/89"
"STU","0819","CYRIL","003.0000000%","10/01/92","00/00/00","000.0000000%","00/00/00","09/30/92","000.0000000%","00/00/00","00/00/00"
"STU","0823","EAKLY","003.0000000%","10/01/97","00/00/00","000.0000000%","00/00/00","09/30/97","000.0000000%","00/00/00","00/00/00"
"STU","0824","FORT COBB","004.0000000%","07/01/99","00/00/00","003.0000000%","11/01/90","06/30/99","002.0000000%","01/01/89","10/31/90"
"STU","0825","GRACEMONT","004.0000000%","01/01/05","00/00/00","000.0000000%","00/00/00","12/31/04","000.0000000%","00/00/00","00/00/00"
"STU","0826","HINTON","003.0000000%","04/01/97","00/00/00","000.0000000%","00/00/00","03/31/97","000.0000000%","00/00/00","00/00/00"
"STU","0827","HYDRO - CADDO COUNTY","004.0000000%","10/01/11","00/00/00","003.0000000%","08/01/89","09/30/11","002.0000000%","02/01/87","07/31/89"
"STU","0828","LOOKEBA","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0834","WASHITA","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0888","CADDO COUNTY","001.5000000%","01/01/10","00/00/00","000.7500000%","07/01/07","12/31/09","000.5000000%","04/01/99","06/30/07"
"STU","0904","CALUMET","004.0000000%","07/01/01","00/00/00","003.0000000%","11/01/89","06/30/01","000.0000000%","00/00/00","10/31/89"
"STU","0905","CONCHO","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0911","EL RENO","004.0000000%","05/01/08","00/00/00","003.7500000%","07/01/02","04/30/08","003.5000000%","01/01/02","06/30/02"
"STU","0915","FIREWORKS CITY","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","0921","OKLAHOMA CITY - CANADIAN COUNT","003.8750000%","04/01/03","00/00/00","003.3750000%","03/01/03","03/31/03","003.8750000%","01/01/02","02/28/03"
"STU","0930","GEARY - CANADIAN COUNTY","003.0000000%","07/01/04","00/00/00","000.0000000%","00/00/00","06/30/04","000.0000000%","00/00/00","00/00/00"
"STU","0933","MUSTANG","004.0000000%","10/01/96","00/00/00","003.0000000%","04/01/85","09/30/96","000.0000000%","00/00/00","03/31/85"
